hotels,cafes,restaurants,guest_houses,tourism_index,town,Governorate
0,1,0,0,3, Bireh,Mount Lebanon
0,0,0,0,0,A'ain El-Mir (El Establ),South
0,0,0,0,0,AAridet Cheikh Zennad,Akkar
0,0,0,0,0,Aaba,North
1,0,0,0,3,Aabadiyeh,Mount Lebanon
0,0,1,0,3,Aabaydat,Keserwan-Jbeil
0,0,0,0,0,Aabba,Nabatieh
4,25,30,2,10,Aabbesiyyi,South
0,2,0,0,3,Aabdine,North
0,0,2,0,3,Aabra Saida,South
0,2,0,2,4,Aabrine,North
0,2,0,0,3,Aachach,North
0,0,10,0,3,Aachqout,Keserwan-Jbeil
0,10,0,0,3,Aadaysseh Marjaayoun,Nabatieh
0,0,0,0,0,Aadchit Ech-Chqif,Nabatieh
0,0,0,0,0,Aadchit El-Qoussair,Nabatieh
0,0,3,0,3,Aadloun,South
0,0,0,0,0,Aadoussiyeh,South
1,1,2,1,10,Aafsdiq,North
0,0,0,0,0,Aain Aanoub,Mount Lebanon
0,0,0,0,0,Aain Aarab Rachaya,Beqaa
0,2,0,0,3,Aain Aata,Beqaa
0,0,0,0,0,Aain Dara,Mount Lebanon
0,1,1,0,6,Aain Drafil,Mount Lebanon
0,0,0,0,0,Aain Ed-Delb,South
0,0,0,0,0,Aain Ed-Delbe,Keserwan-Jbeil
0,0,2,0,3,Aain Ej-Jdideh Aaley,Mount Lebanon
2,0,1,0,6,Aain El Saydeh,Mount Lebanon
0,0,0,0,0,Aain El-Ghouaybeh,Keserwan-Jbeil
0,3,5,0,6,Aain El-Kharroubeh,Mount Lebanon
0,0,0,0,0,Aain El-Qabu,Mount Lebanon
0,0,0,0,0,Aain Er-Rihane,Keserwan-Jbeil
1,2,2,0,9,Aain Er-Roummaneh Aaley,Mount Lebanon
2,1,5,0,9,Aain Es-Sindiane,Mount Lebanon
0,0,0,0,0,Aain Et-Teffaha,Mount Lebanon
0,3,0,0,3,Aain Ez-Zeit,Akkar
1,0,0,0,3,Aain Ez-Zeitouneh,Mount Lebanon
0,0,0,0,0,Aain Fraidis,Mount Lebanon
0,0,0,0,0,Aain Harsha,Beqaa
1,5,6,4,10,Aain Ibl,Nabatieh
0,0,1,0,3,Aain Jarfa,Nabatieh
0,0,0,0,0,Aain Jrain,Keserwan-Jbeil
0,0,0,0,0,Aain Kfaa,Keserwan-Jbeil
0,0,0,0,0,Aain Ksour,Mount Lebanon
0,0,0,0,0,Aain Mouaffaq,Mount Lebanon
0,0,1,0,3,Aain Ouzain,Mount Lebanon
0,0,0,0,0,Aain Qana,Nabatieh
0,0,0,0,0,Aain Qania,Mount Lebanon
0,0,0,0,0,Aain Qinia,Nabatieh
0,0,0,0,0,Aain Saadeh,Mount Lebanon
0,1,0,0,3,Aain Tinta,Akkar
0,0,0,0,0,Aain Traz,Mount Lebanon
0,0,0,0,0,Aain Yaaqoub,Akkar
2,4,6,1,10,Aain Zebdeh,Bekaa
2,2,6,3,10,Aain Zhalta,Mount Lebanon
0,0,0,0,0,Aain challal,Keserwan-Jbeil
0,0,0,0,0,Aainbal,Mount Lebanon
0,2,0,0,3,Aaita Ej-Jabal,Nabatieh
0,3,0,0,3,Aaiyat,Akkar
0,0,0,0,0,Aajaltoun,Keserwan-Jbeil
0,20,6,4,7,Aakkar El-Aatiqa,Akkar
5,20,20,0,9,Aaley,Mount Lebanon
0,0,2,0,3,Aaley Bsatine,Mount Lebanon
0,2,1,0,6,Aalma,North
1,0,2,0,6,Aalma Ech-Chaab,South
0,0,0,0,0,Aalman,Nabatieh
0,1,0,0,3,Aalmane Ech-Chouf,Mount Lebanon
0,3,3,0,6,Aamaret El-Baykat,Akkar
0,3,2,0,6,Aamayer,Akkar
1,3,15,4,10,Aamchit,Keserwan-Jbeil
0,0,1,0,3,Aammatour,Mount Lebanon
0,0,2,0,3,Aammiq Ech-Chouf,Bekaa
0,3,1,0,6,Aana,Bekaa
0,2,2,2,7,Aandqet,Akkar
0,2,3,0,6,Aanout,Mount Lebanon
0,7,2,0,6,Aanqoun,South
0,0,0,0,0,Aaouaainat Aakkar,Akkar
0,0,0,0,0,Aaqabet Rachaya,Beqaa
2,0,20,0,6,Aaqaibeh Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Aaqtanit,South
0,0,0,0,0,Aarab Ej-Jall,South
0,1,1,0,6,Aarab Salim,Nabatieh
0,0,2,0,3,Aarab Tabbaya,South
0,0,1,0,3,Aaraiya,Mount Lebanon
0,5,0,0,3,Aaramoun Kesrouane,Mount Lebanon
0,0,0,0,0,Aaramta,South
0,0,0,0,0,Aaray,South
0,0,0,0,0,Aarbaniyeh,Mount Lebanon
1,1,2,0,9,Aarbet Qozhaiya,North
1,5,15,0,9,Aarjis,North
0,0,0,0,0,Aarqa,Akkar
0,0,0,0,0,Aarsal,Baalbek-Hermel
0,0,0,0,0,Aatchaneh,Mount Lebanon
0,0,0,0,0,Aathrine,Mount Lebanon
0,0,2,0,3,Aaychiyeh,South
0,0,0,0,0,Aayha,Beqaa
0,0,0,0,0,Aaynab,Mount Lebanon
0,0,0,5,1,Aaynata Baalbek,Baalbek-Hermel
0,3,1,0,6,Aaynata Bent Jbeil,Nabatieh
0,4,2,0,6,Aayoun Aakkar,Akkar
0,0,0,0,0,Aayoun El-Ghizlane,Akkar
0,0,0,0,0,Aayoun El-Matn,Mount Lebanon
0,0,0,0,0,Aayroun,Mount Lebanon
0,5,6,0,6,Aayta Ech-Chaab,Nabatieh
0,0,1,0,3,Aayta El-Foukhar,Beqaa
0,0,2,1,4,Aaytanit,Bekaa
0,0,1,0,3,Aaytat,Mount Lebanon
0,0,0,0,0,Aaytit,South
2,0,2,0,6,Aazour,South
1,0,2,0,6,Aazra ouel Aazr,Keserwan-Jbeil
0,0,0,0,0,Aazzi,Nabatieh
0,0,0,0,0,Abou Mizan,Mount Lebanon
4,4,10,2,10,Abou Qamha,Nabatieh
0,0,0,0,0,Adma Oua Dafine,Keserwan-Jbeil
0,0,0,0,0,Adonis,Keserwan-Jbeil
0,2,0,0,3,Afqa Jbeil,Keserwan-Jbeil
0,0,0,0,0,Ain Aakrine,North
0,0,0,0,0,Aintoura El-Matn,Mount Lebanon
0,0,2,1,4,Aintoura Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Aintourine,North
0,0,0,0,0,Aitaroun,Nabatieh
0,2,6,0,6,Alaq,Baalbek-Hermel
0,2,0,0,3,Almat,Keserwan-Jbeil
0,4,0,0,3,Amara,Akkar
0,5,8,0,6,Amioun,North
2,4,4,0,9,Anane,South
1,6,3,0,9,Ansar,Nabatieh
